id,metric_name,value,timestamp
1,avg_price,1858783.7023755088,2025-12-01 15:55:36.623463
2,avg_rating,0.2317242866406677,2025-12-01 15:55:36.623463
3,total_predicted_revenue,18587837.02375509,2025-12-01 15:55:36.623463
4,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:36.623463
5,batch_size,1.0,2025-12-01 15:55:36.623463
6,avg_price,548722.1905774652,2025-12-01 15:55:36.750540
7,avg_rating,2.7575692721500205,2025-12-01 15:55:36.750540
8,total_predicted_revenue,6035944.096352117,2025-12-01 15:55:36.750540
9,total_quantity,b'\x0b\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:36.750540
10,batch_size,1.0,2025-12-01 15:55:36.750540
11,avg_price,450645.80786246376,2025-12-01 15:55:37.264073
12,avg_rating,4.3264814059376775,2025-12-01 15:55:37.264073
13,total_predicted_revenue,4957103.886487101,2025-12-01 15:55:37.264073
14,total_quantity,b'\x0b\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:37.264073
15,batch_size,1.0,2025-12-01 15:55:37.264073
16,avg_price,213610.3697325191,2025-12-01 15:55:38.158366
17,avg_rating,1.0350300656507478,2025-12-01 15:55:38.158366
18,total_predicted_revenue,2776934.806522748,2025-12-01 15:55:38.158366
19,total_quantity,b'\r\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:38.158366
20,batch_size,1.0,2025-12-01 15:55:38.158366
21,avg_price,421109.4510103852,2025-12-01 15:55:38.548551
22,avg_rating,1.8896074488433512,2025-12-01 15:55:38.548551
23,total_predicted_revenue,4211094.510103852,2025-12-01 15:55:38.548551
24,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:38.548551
25,batch_size,1.0,2025-12-01 15:55:38.548551
26,avg_price,1014744.6087890806,2025-12-01 15:55:39.234578
27,avg_rating,4.609166564903257,2025-12-01 15:55:39.234578
28,total_predicted_revenue,10147446.087890806,2025-12-01 15:55:39.234578
29,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:39.234578
30,batch_size,1.0,2025-12-01 15:55:39.234578
31,avg_price,1327114.8051292528,2025-12-01 15:55:40.108505
32,avg_rating,0.4417665615808858,2025-12-01 15:55:40.108505
33,total_predicted_revenue,10616918.441034023,2025-12-01 15:55:40.108505
34,total_quantity,b'\x08\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:40.108505
35,batch_size,1.0,2025-12-01 15:55:40.108505
36,avg_price,1021014.7253790421,2025-12-01 15:55:40.232113
37,avg_rating,2.38872879375951,2025-12-01 15:55:40.232113
38,total_predicted_revenue,9189132.52841138,2025-12-01 15:55:40.232113
39,total_quantity,b'\t\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:40.232113
40,batch_size,1.0,2025-12-01 15:55:40.232113
41,avg_price,1296602.6935170535,2025-12-01 15:55:40.746767
42,avg_rating,2.3107134406400753,2025-12-01 15:55:40.746767
43,total_predicted_revenue,12966026.935170535,2025-12-01 15:55:40.746767
44,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:40.746767
45,batch_size,1.0,2025-12-01 15:55:40.746767
46,avg_price,1527094.2881438711,2025-12-01 15:55:41.558115
47,avg_rating,3.178595764723192,2025-12-01 15:55:41.558115
48,total_predicted_revenue,21379320.034014195,2025-12-01 15:55:41.558115
49,total_quantity,b'\x0e\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:41.558115
50,batch_size,1.0,2025-12-01 15:55:41.558115
51,avg_price,701300.4624939498,2025-12-01 15:55:42.026768
52,avg_rating,0.1763404135443808,2025-12-01 15:55:42.026768
53,total_predicted_revenue,4909103.237457649,2025-12-01 15:55:42.026768
54,total_quantity,b'\x07\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:42.026768
55,batch_size,1.0,2025-12-01 15:55:42.026768
56,avg_price,908302.5315856863,2025-12-01 15:55:42.991938
57,avg_rating,2.128265117282063,2025-12-01 15:55:42.991938
58,total_predicted_revenue,10899630.379028235,2025-12-01 15:55:42.991938
59,total_quantity,b'\x0c\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:42.991938
60,batch_size,1.0,2025-12-01 15:55:42.991938
61,avg_price,414112.50461554277,2025-12-01 15:55:43.981178
62,avg_rating,1.1269733670023823,2025-12-01 15:55:43.981178
63,total_predicted_revenue,6211687.569233142,2025-12-01 15:55:43.981178
64,total_quantity,b'\x0f\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:43.981178
65,batch_size,1.0,2025-12-01 15:55:43.981178
66,avg_price,849751.6973371594,2025-12-01 15:55:44.830912
67,avg_rating,3.916318761960346,2025-12-01 15:55:44.830912
68,total_predicted_revenue,8497516.973371595,2025-12-01 15:55:44.830912
69,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:44.830912
70,batch_size,1.0,2025-12-01 15:55:44.830912
71,avg_price,222537.67523199032,2025-12-01 15:55:45.237441
72,avg_rating,4.27154391806462,2025-12-01 15:55:45.237441
73,total_predicted_revenue,2225376.752319903,2025-12-01 15:55:45.237441
74,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:45.237441
75,batch_size,1.0,2025-12-01 15:55:45.237441
76,avg_price,543849.0285184953,2025-12-01 15:55:45.841507
77,avg_rating,2.6818526798911964,2025-12-01 15:55:45.841507
78,total_predicted_revenue,7070037.370740439,2025-12-01 15:55:45.841507
79,total_quantity,b'\r\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:45.841507
80,batch_size,1.0,2025-12-01 15:55:45.841507
81,avg_price,432906.25526066107,2025-12-01 15:55:46.482421
82,avg_rating,0.6532461713101695,2025-12-01 15:55:46.482421
83,total_predicted_revenue,3896156.29734595,2025-12-01 15:55:46.482421
84,total_quantity,b'\t\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:46.482421
85,batch_size,1.0,2025-12-01 15:55:46.482421
86,avg_price,597696.8940779449,2025-12-01 15:55:46.779197
87,avg_rating,0.058149967573656314,2025-12-01 15:55:46.779197
88,total_predicted_revenue,4781575.152623559,2025-12-01 15:55:46.779197
89,total_quantity,b'\x08\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:46.779197
90,batch_size,1.0,2025-12-01 15:55:46.779197
91,avg_price,1392343.7172403943,2025-12-01 15:55:47.090104
92,avg_rating,4.398907908999638,2025-12-01 15:55:47.090104
93,total_predicted_revenue,13923437.172403943,2025-12-01 15:55:47.090104
94,total_quantity,b'\n\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:47.090104
95,batch_size,1.0,2025-12-01 15:55:47.090104
96,avg_price,327502.3365720715,2025-12-01 15:55:47.855120
97,avg_rating,0.7999437816606408,2025-12-01 15:55:47.855120
98,total_predicted_revenue,2620018.692576572,2025-12-01 15:55:47.855120
99,total_quantity,b'\x08\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:47.855120
100,batch_size,1.0,2025-12-01 15:55:47.855120
101,avg_price,1570844.543922856,2025-12-01 15:55:48.197636
102,avg_rating,3.5441202611041773,2025-12-01 15:55:48.197636
103,total_predicted_revenue,14137600.895305704,2025-12-01 15:55:48.197636
104,total_quantity,b'\t\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:48.197636
105,batch_size,1.0,2025-12-01 15:55:48.197636
106,avg_price,1663213.87630635,2025-12-01 15:55:48.964848
107,avg_rating,4.032139884714478,2025-12-01 15:55:48.964848
108,total_predicted_revenue,18295352.639369853,2025-12-01 15:55:48.964848
109,total_quantity,b'\x0b\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:48.964848
110,batch_size,1.0,2025-12-01 15:55:48.964848
111,avg_price,1506976.924374029,2025-12-01 15:55:49.451005
112,avg_rating,2.379043653295667,2025-12-01 15:55:49.451005
113,total_predicted_revenue,16576746.16811432,2025-12-01 15:55:49.451005
114,total_quantity,b'\x0b\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:49.451005
115,batch_size,1.0,2025-12-01 15:55:49.451005
116,avg_price,1719254.2959374215,2025-12-01 15:55:49.937684
117,avg_rating,2.0222785131604266,2025-12-01 15:55:49.937684
118,total_predicted_revenue,22350305.84718648,2025-12-01 15:55:49.937684
119,total_quantity,b'\r\x00\x00\x00\x00\x00\x00\x00',2025-12-01 15:55:49.937684
120,batch_size,1.0,2025-12-01 15:55:49.937684
121,avg_price,1856751.6934821764,2025-12-01 15:55:50.637195
